calendar_id,resource_id,date,available_from,available_to,current_workload
C001,R001,2024-11-10,07:00:00,19:00:00,5
C002,R001,2024-11-11,09:00:00,17:00:00,2
C003,R001,2024-11-12,08:00:00,13:00:00,4
C004,R002,2024-11-10,13:00:00,18:00:00,2
C005,R002,2024-11-11,08:00:00,13:00:00,8
C006,R002,2024-11-12,09:00:00,17:00:00,8
C007,R003,2024-11-10,13:00:00,18:00:00,6
C008,R003,2024-11-11,07:00:00,19:00:00,8
C009,R003,2024-11-12,13:00:00,18:00:00,3
C010,R004,2024-11-10,08:00:00,13:00:00,9
C011,R004,2024-11-11,08:00:00,13:00:00,10
C012,R004,2024-11-12,09:00:00,17:00:00,4
C013,R005,2024-11-10,09:00:00,17:00:00,3
C014,R005,2024-11-11,09:00:00,17:00:00,4
C015,R005,2024-11-12,09:00:00,17:00:00,1
C016,R006,2024-11-10,09:00:00,17:00:00,0
C017,R006,2024-11-11,13:00:00,18:00:00,1
C018,R006,2024-11-12,09:00:00,17:00:00,4
C019,R007,2024-11-10,08:00:00,13:00:00,6
C020,R007,2024-11-11,09:00:00,17:00:00,8
C021,R007,2024-11-12,13:00:00,18:00:00,7
C022,R008,2024-11-10,09:00:00,17:00:00,8
C023,R008,2024-11-11,09:00:00,17:00:00,10
C024,R008,2024-11-12,09:00:00,17:00:00,2
C025,R009,2024-11-10,09:00:00,17:00:00,6
C026,R009,2024-11-11,09:00:00,17:00:00,6
C027,R009,2024-11-12,09:00:00,17:00:00,7
C028,R010,2024-11-10,09:00:00,17:00:00,3
C029,R010,2024-11-11,13:00:00,18:00:00,1
C030,R010,2024-11-12,09:00:00,17:00:00,8
C031,R011,2024-11-10,09:00:00,17:00:00,8
C032,R011,2024-11-11,13:00:00,18:00:00,1
C033,R011,2024-11-12,07:00:00,19:00:00,3
C034,R012,2024-11-10,09:00:00,17:00:00,9
C035,R012,2024-11-11,09:00:00,17:00:00,7
C036,R012,2024-11-12,09:00:00,17:00:00,2
C037,R013,2024-11-10,09:00:00,17:00:00,7
C038,R013,2024-11-11,09:00:00,17:00:00,8
C039,R013,2024-11-12,08:00:00,13:00:00,7
C040,R014,2024-11-10,09:00:00,17:00:00,4
C041,R014,2024-11-11,09:00:00,17:00:00,0
C042,R014,2024-11-12,09:00:00,17:00:00,8
C043,R015,2024-11-10,09:00:00,17:00:00,6
C044,R015,2024-11-11,09:00:00,17:00:00,10
C045,R015,2024-11-12,07:00:00,19:00:00,9
